id,value,created_at,updated_at,deleted_at,deleted,transcript_id
64fcdcd5-0399-4f3d-aacc-f8e5b000b7ad,"{""id"": ""64fcdcd503994f3daaccf8e5b000b7ad"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-24T16:51:30Z"", ""duration"": 42, ""spokenBy"": ""62b6ae1d7f834b0bb2055f7c72bc3368"", ""createdAt"": ""2019-07-24T17:09:39.895607806Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T16:50:48Z"", ""updatedAt"": ""2019-07-24T17:10:01.301953355Z"", ""confidence"": 0.789710075, ""recordingId"": ""57c5419ec7d84138a20d74b5fd6ad88b"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""But those implementations do not need to specify they also Implement these interfaces because then you try to put a coupling between packages which is not great. I just want to be able to use that package implementation whether or not I injected to it into the system or not is a different concern. I just want to use it isolated Manner and you can soften saw power. So that ability was really nice which go really put thought out on and that allows you to create a lot of decouple code in that manner. That was very important. At least for me. That is very important decision point.  And definitely Simplicity is an anger is dependency management and all that."", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T17:09:39.899Z,2019-07-24T17:09:39.899Z,,false,68278dc5-403e-4500-9305-70b78a73faed
257175df-f82c-49f8-9515-cf6ca3a4102d,"{""id"": ""257175dff82c49f89515cf6ca3a4102d"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-24T16:17:58Z"", ""duration"": 120, ""spokenBy"": ""62b6ae1d7f834b0bb2055f7c72bc3368"", ""createdAt"": ""2019-07-24T17:09:39.884346772Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T16:15:58Z"", ""updatedAt"": ""2019-07-24T17:10:21.689247243Z"", ""confidence"": 0.81241477, ""recordingId"": ""814edce1d00545c490093f205953b119"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""Go to the tree in dependencies and they try to resolve OK these are the things I need. So right now it's pretty fast at least on the front end point. It's not a concern go. Now. This is where a partly for the platform. This has been a pretty good thing with the one of the good actions go it going with the language here was go because go irrespective of the size of the code base. The compilation time doesn't generally exceed Beyond 5 seconds for us is never and we've seen enough case studies and experience reports by different companies around their experience with writing large managing large pieces of code in go and how compilation has been blazing fast for them. So for us comparison is never been a concern but definitely some things that will come into problem RCI steps, right? How do you test everything?. To make a comment to change or if you factor something that gets you know that have like repercussions occurs different queries support based now, that's something we need to continue to work on but even then one other thing is in our build systems based on the deployments that we have. So we deploy the API or the slack connector or we deploy a web socket Gateway or the Lambda functions whenever you we configure the builds up in such a way when you trigger a push to one of those code bases it basically runs simple compiled from the main main file for that specific code base and tries to see if it compiles or not at least that right now seems to be working but definitely and because a lot of the code. "", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T17:09:39.896Z,2019-07-24T17:09:39.896Z,,false,68278dc5-403e-4500-9305-70b78a73faed
c079a5f7-f289-4d6f-94f3-823a5b056c08,"{""id"": ""c079a5f7f2894d6f94f3823a5b056c08"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-24T16:58:46Z"", ""duration"": 38, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T17:09:39.895589379Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T16:58:08Z"", ""updatedAt"": ""2019-07-24T17:10:01.26295797Z"", ""confidence"": 0.5755546833333334, ""recordingId"": ""a42466b2a15444538ab87bdcac4dc630"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""I don't like a dictionary covered some language choices. What about things like, you know communication inter-service an inter process communication, right? So we obviously we still use rest right? Internally. We just make API calls. We mean at some point. Should we be thinking about moving to Pro debuffs and grp see graphql for our API. Is that our clients consume?. . "", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T17:09:39.898Z,2019-07-24T17:09:39.898Z,,false,68278dc5-403e-4500-9305-70b78a73faed
f1cd81e5-b088-479f-98e8-8830dff692f0,"{""id"": ""f1cd81e5b088479f98e88830dff692f0"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-24T17:07:52Z"", ""duration"": 22, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T17:09:39.896103434Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T17:07:30Z"", ""updatedAt"": ""2019-07-24T17:10:01.178156437Z"", ""confidence"": 0.76541656, ""recordingId"": ""4e61d9390a6840b7869f37ecbe62387f"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""So this is a very simple in nature, you know, laughing. Okay, especially the ones that climbs consume are extremely surprised not like a big e-commerce application where you need to pull data from five different Services. You don't quite know how to them and all that aggregate them and change them. Definitely. I mean, that's not a lot of. "", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T17:09:39.909Z,2019-07-24T17:09:39.909Z,,false,68278dc5-403e-4500-9305-70b78a73faed
8740f366-d0c3-428e-aaca-72687f9a18be,"{""id"": ""8740f366d0c3428eaaca72687f9a18be"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-24T15:59:57Z"", ""duration"": 2, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T15:59:58.094656905Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T15:59:55Z"", ""updatedAt"": ""2019-07-24T16:00:00.472955286Z"", ""confidence"": 0, ""recordingId"": ""b24a2b86cb034c41ba4f4273ecbf66b5"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T15:59:58.093Z,2019-07-24T15:59:58.093Z,,false,68278dc5-403e-4500-9305-70b78a73faed
83e46982-14ab-4d7e-a0e4-649a4f420ef2,"{""id"": ""83e4698214ab4d7ea0e4649a4f420ef2"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-24T15:57:32Z"", ""duration"": 2, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T15:57:32.599722911Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T15:57:30Z"", ""updatedAt"": ""2019-07-24T15:57:35.117717643Z"", ""confidence"": 0, ""recordingId"": ""633f04c046ad4b6abab2671c7bc4804b"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T15:57:32.599Z,2019-07-24T15:57:32.599Z,,false,68278dc5-403e-4500-9305-70b78a73faed
5b64efcb-539e-49dc-bc3c-10f457b89550,"{""id"": ""5b64efcb539e49dcbc3c10f457b89550"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-24T15:58:12Z"", ""duration"": 2, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T15:58:12.426080985Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T15:58:10Z"", ""updatedAt"": ""2019-07-24T15:58:14.850169727Z"", ""confidence"": 0, ""recordingId"": ""30d9615228fe4abbb7c39f286b5ea584"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T15:58:12.429Z,2019-07-24T15:58:12.429Z,,false,68278dc5-403e-4500-9305-70b78a73faed
0399616e-a53f-4fa7-ad42-970ed8d78db4,"{""id"": ""0399616ea53f4fa7ad42970ed8d78db4"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-24T15:59:53Z"", ""duration"": 13, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T15:59:53.749758973Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T15:59:40Z"", ""updatedAt"": ""2019-07-24T15:59:55.678182079Z"", ""confidence"": 0.5586346, ""recordingId"": ""7a048eed4c964994a504c5842b141618"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Yes can't think still senior you sure that's coming."", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T15:59:53.749Z,2019-07-24T15:59:53.749Z,,false,68278dc5-403e-4500-9305-70b78a73faed
87bcaba0-8625-434b-a95f-f82a583a3928,"{""id"": ""87bcaba08625434ba95ff82a583a3928"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-24T15:58:26Z"", ""duration"": 4, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T15:58:26.272499303Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T15:58:22Z"", ""updatedAt"": ""2019-07-24T15:58:27.792750586Z"", ""confidence"": 0, ""recordingId"": ""d43be446eae74be3a518d93acd36f91f"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T15:58:26.271Z,2019-07-24T15:58:26.271Z,,false,68278dc5-403e-4500-9305-70b78a73faed
ae396e02-e508-4d94-8496-9032d8b6067c,"{""id"": ""ae396e02e5084d9484969032d8b6067c"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-24T16:00:02Z"", ""duration"": 4, ""spokenBy"": ""8d6db5f7d9b74c54ba38fe710ffcaf3f"", ""createdAt"": ""2019-07-24T16:00:02.265163994Z"", ""deletedAt"": null, ""startTime"": ""2019-07-24T15:59:58Z"", ""updatedAt"": ""2019-07-24T16:00:03.560268608Z"", ""confidence"": 0.55431527, ""recordingId"": ""fd23dfc5e9a045678913e773cb93552e"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Speaking no testing one two three and."", ""transcriptId"": ""68278dc5-403e-4500-9305-70b78a73faed""}",2019-07-24T16:00:02.272Z,2019-07-24T16:00:02.272Z,,false,68278dc5-403e-4500-9305-70b78a73faed
