id,value,created_at,updated_at,deleted_at,deleted,transcript_id
d612f171-0198-449c-8732-10743c00d7eb,"{""id"": ""d612f1710198449c873210743c00d7eb"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:51:39Z"", ""duration"": 13, ""spokenBy"": ""85070b77-d30a-438b-88a8-4ed4dfd27c93"", ""createdAt"": ""2019-07-01T05:51:39.825261458Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:51:26Z"", ""updatedAt"": ""2019-07-01T05:51:42.846563979Z"", ""confidence"": 0.8707816, ""recordingId"": ""e6d313400eb94ec89cc3383e8df14b89"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Okay."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:51:39.824Z,2019-07-01T05:51:39.824Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
842e3f7a-dc90-4c3e-bb29-d805640b67a0,"{""id"": ""842e3f7adc904c3ebb29d805640b67a0"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:59:45Z"", ""duration"": 17, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T06:14:08.749395809Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:59:28Z"", ""updatedAt"": ""2019-07-01T06:14:30.007684935Z"", ""confidence"": 0.90305036, ""recordingId"": ""1601a680650e4072938cff7668050f5e"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""I guess we can't really account really upload until we've addressed the upgrade problem, right? Yeah. Yeah got it. Got it. Okay, I we have to whip. Take care of that. Okay, sounds good. So yeah, just stay focused on that. Once that is done then we'll move to English. Yeah."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T06:14:08.766Z,2019-07-01T06:14:08.766Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
44f80ac3-3957-4853-a868-da39ab262d78,"{""id"": ""44f80ac339574853a868da39ab262d78"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-01T05:50:56Z"", ""duration"": 39, ""spokenBy"": ""a8734344-1592-4957-bd00-442188b39906"", ""createdAt"": ""2019-07-01T05:50:57.301768761Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:50:17Z"", ""updatedAt"": ""2019-07-01T05:51:00.619429213Z"", ""confidence"": 0, ""recordingId"": ""9f4cce6a27184231a704c36af6ccb6da"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:50:57.301Z,2019-07-01T05:50:57.301Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
5ad4dc5d-ef7a-4577-83ca-80db4ae7183b,"{""id"": ""5ad4dc5def7a457783ca80db4ae7183b"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:51:18Z"", ""duration"": 3, ""spokenBy"": ""85070b77-d30a-438b-88a8-4ed4dfd27c93"", ""createdAt"": ""2019-07-01T05:51:18.242237421Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:51:15Z"", ""updatedAt"": ""2019-07-01T05:51:20.842214909Z"", ""confidence"": 0.6392495, ""recordingId"": ""8c1eeea0493e4eec9b444f2c28378e91"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""It's."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:51:18.244Z,2019-07-01T05:51:18.244Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
c232bba7-4f29-4169-b3b6-43ab508d9ca9,"{""id"": ""c232bba74f294169b3b643ab508d9ca9"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-01T05:51:20Z"", ""duration"": 2, ""spokenBy"": ""9465dff8-9d4f-4bf2-8b39-c76d3834f773"", ""createdAt"": ""2019-07-01T05:51:20.769827832Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:51:18Z"", ""updatedAt"": ""2019-07-01T05:51:22.175091812Z"", ""confidence"": 0, ""recordingId"": ""9f0c4020a1ad4926aa57b930b61678bd"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:51:20.769Z,2019-07-01T05:51:20.769Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
3a83f8cd-4b01-4a62-a316-0e8cc318bff3,"{""id"": ""3a83f8cd4b014a62a3160e8cc318bff3"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:52:05Z"", ""duration"": 18, ""spokenBy"": ""5aa6f27a-c06e-4569-9117-5797fafe8356"", ""createdAt"": ""2019-07-01T05:52:05.581874005Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:51:47Z"", ""updatedAt"": ""2019-07-01T05:52:07.971981101Z"", ""confidence"": 0.9758519, ""recordingId"": ""4e88a4e9a99e41ff8c167af8e6da5659"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""All the changes accomplished complete on Subscription on two things I noticed test was that I IP address in the main link. So for that we I'll discuss and and."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:52:05.581Z,2019-07-01T05:52:05.581Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
56ae9ca0-8ba1-41fd-83e3-9984660f9502,"{""id"": ""56ae9ca08ba141fd83e39984660f9502"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:52:23Z"", ""duration"": 18, ""spokenBy"": ""5aa6f27a-c06e-4569-9117-5797fafe8356"", ""createdAt"": ""2019-07-01T05:52:23.961253584Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:52:05Z"", ""updatedAt"": ""2019-07-01T05:52:26.208337428Z"", ""confidence"": 0.62340105, ""recordingId"": ""e543e420c7714d5d961812e8a52f8949"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Very and so that that won't happen and will that for the we need the then function that website video only allen."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:52:23.961Z,2019-07-01T05:52:23.961Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
87a2bf45-f6f9-4576-acd9-65211a3ee8b9,"{""id"": ""87a2bf45f6f94576acd965211a3ee8b9"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:58:12Z"", ""duration"": 19, ""spokenBy"": ""f591528c-d57a-46d6-9983-3dd9eb8d3868"", ""createdAt"": ""2019-07-01T06:14:08.761273966Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:57:53Z"", ""updatedAt"": ""2019-07-01T06:14:30.047741015Z"", ""confidence"": 0.6711307, ""recordingId"": ""866fd4dd27c44ceda69a1923bdc7d305"", ""transcriber"": ""google_speech_api"", ""languageCode"": ""en-US"", ""originalText"": ""Lake logic within expires after 7 days. So like we need to change it to expiring after seven days of login like whenever the user logs in the those seven days should refresh so something like that."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T06:14:08.766Z,2019-07-01T06:14:08.766Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
93d36d28-dc41-4d8e-a5ec-a3dd980cf3c5,"{""id"": ""93d36d28dc414d8ea5eca3dd980cf3c5"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-01T05:52:36Z"", ""duration"": 3, ""spokenBy"": ""9465dff8-9d4f-4bf2-8b39-c76d3834f773"", ""createdAt"": ""2019-07-01T05:52:36.599701014Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:52:33Z"", ""updatedAt"": ""2019-07-01T05:52:37.846102897Z"", ""confidence"": 0, ""recordingId"": ""61f771c8ebc14a2dbbcfc784a714ce0c"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:52:36.600Z,2019-07-01T05:52:36.600Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
7cf8c692-8801-4907-b61d-5020c73d5a3d,"{""id"": ""7cf8c69288014907b61d5020c73d5a3d"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:53:13Z"", ""duration"": 9, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:53:13.333563074Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:53:04Z"", ""updatedAt"": ""2019-07-01T05:53:16.229631518Z"", ""confidence"": 0.93091655, ""recordingId"": ""51f50f010aea4a9bb17378f3a9de4b5e"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""And then we be kind of whatever they there is something for."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:53:13.333Z,2019-07-01T05:53:13.333Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
8862e2e9-28b1-4e34-bf12-f27140012386,"{""id"": ""8862e2e928b14e34bf12f27140012386"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:54:55Z"", ""duration"": 15, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:54:55.467406653Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:54:40Z"", ""updatedAt"": ""2019-07-01T05:54:58.562435692Z"", ""confidence"": 0.85560423, ""recordingId"": ""7b8e021bcfd549e19a180f93b3b77c28"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""But I saying so at so that they know that it's it's if we can all ask for okay have app. Yeah, right right? Right? Yeah yeah. Okay? I'll do that okay."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:54:55.467Z,2019-07-01T05:54:55.467Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
ac19e256-99b4-47b8-93d7-2735a6800b83,"{""id"": ""ac19e25699b447b893d72735a6800b83"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:55:10Z"", ""duration"": 14, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:55:10.710119106Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:54:56Z"", ""updatedAt"": ""2019-07-01T05:55:13.941954076Z"", ""confidence"": 0.95535195, ""recordingId"": ""dfbb3208d3d446eca58097da9207a50f"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""So that is one I think that's it right anyone else think of anything else before we just upload it and make it ready."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:55:10.709Z,2019-07-01T05:55:10.709Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
a6265203-d12f-4652-aab5-8dd3341a7a57,"{""id"": ""a6265203d12f4652aab58dd3341a7a57"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:56:46Z"", ""duration"": 4, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:56:46.35852146Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:56:42Z"", ""updatedAt"": ""2019-07-01T05:56:48.869877972Z"", ""confidence"": 0.9261319, ""recordingId"": ""33f077ba3e4f41ac83f7cb630cb36a25"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Are those are okay only."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:56:46.358Z,2019-07-01T05:56:46.358Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
b441e316-a05e-4aa8-a476-b0937a308235,"{""id"": ""b441e316a05e4aa8a476b0937a308235"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:57:06Z"", ""duration"": 20, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:57:07.022671384Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:56:46Z"", ""updatedAt"": ""2019-07-01T05:57:10.420657132Z"", ""confidence"": 0.74036926, ""recordingId"": ""63f848c4171d41849504625da444ae7f"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Yeah, sorry, the only thing to be is is that we don't in that and the myself the old spaces. I don't know if that will cause a problem or not I of okay."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:57:07.022Z,2019-07-01T05:57:07.022Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
67e86760-f99c-442e-9eb3-16c2d2af27d4,"{""id"": ""67e86760f99c442e9eb316c2d2af27d4"", ""status"": ""revoked"", ""deleted"": false, ""endTime"": ""2019-07-01T05:55:35Z"", ""duration"": 20, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:55:35.46862964Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:55:15Z"", ""updatedAt"": ""2019-07-01T05:55:38.728418827Z"", ""confidence"": 0.91295856, ""recordingId"": ""335da9233c604c40b6541e65cb65f6a1"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""What will do for is when make all the changes in that site you know website ether larger Io today and then we'll ask Colin do take one quick pa*s and then if everything works. Well more go life. Okay. So one more thing is you do."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:55:35.468Z,2019-07-01T05:55:35.468Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
133fc297-9ba0-47a8-b91b-a31b03a539d5,"{""id"": ""133fc2979ba047a8b91ba31b03a539d5"", ""status"": ""no_transcription"", ""deleted"": false, ""endTime"": ""2019-07-01T05:51:00Z"", ""duration"": 2, ""spokenBy"": ""85070b77-d30a-438b-88a8-4ed4dfd27c93"", ""createdAt"": ""2019-07-01T05:51:01.022098493Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:50:58Z"", ""updatedAt"": ""2019-07-01T05:51:03.442453717Z"", ""confidence"": 0, ""recordingId"": ""b7f601d351c8458cb5cbdda91195db52"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": """", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:51:01.022Z,2019-07-01T05:51:01.022Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
58580e14-b221-46be-951a-d0202a9d357b,"{""id"": ""58580e14b22146be951ad0202a9d357b"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:57:35Z"", ""duration"": 22, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:57:36.069840809Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:57:13Z"", ""updatedAt"": ""2019-07-01T05:57:39.429554401Z"", ""confidence"": 0.73046815, ""recordingId"": ""7585678f5ffe4f639eb99c98e735bf45"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Right and then on the slack page I our to kind of with info and update update that so that be fairly straightforward. We go wanted the stopper pending yes."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:57:36.071Z,2019-07-01T05:57:36.071Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
f3ae05ce-95e8-42a6-a7e2-4a54bbecd1cf,"{""id"": ""f3ae05ce95e842a6a7e24a54bbecd1cf"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:52:30Z"", ""duration"": 5, ""spokenBy"": ""5aa6f27a-c06e-4569-9117-5797fafe8356"", ""createdAt"": ""2019-07-01T05:52:30.569715238Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:52:25Z"", ""updatedAt"": ""2019-07-01T05:52:32.19019881Z"", ""confidence"": 0.6669456, ""recordingId"": ""3bf02167ae8f406087df684e751dfb6a"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""We look like the so."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:52:30.569Z,2019-07-01T05:52:30.569Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
47ca0405-baa5-46c4-a237-1623d200c42c,"{""id"": ""47ca0405baa546c4a2371623d200c42c"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:52:39Z"", ""duration"": 3, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T05:52:39.275224002Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:52:36Z"", ""updatedAt"": ""2019-07-01T05:52:40.798523125Z"", ""confidence"": 0.93694776, ""recordingId"": ""732322e6a9c646cfa145a147c4fa3248"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Sorry, I missed the last one so that."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:52:39.275Z,2019-07-01T05:52:39.275Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
d94ae4ae-8284-4b25-a284-da523df60480,"{""id"": ""d94ae4ae82844b25a284da523df60480"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:53:04Z"", ""duration"": 3, ""spokenBy"": ""5aa6f27a-c06e-4569-9117-5797fafe8356"", ""createdAt"": ""2019-07-01T05:53:04.541340306Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:53:01Z"", ""updatedAt"": ""2019-07-01T05:53:07.093903783Z"", ""confidence"": 0.9910647, ""recordingId"": ""c63c069843e7469e8f5f9563933439f5"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Okay Yeah, we can get a basic side."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:53:04.540Z,2019-07-01T05:53:04.540Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
bb61d924-ab3c-446c-aebf-d19c29b36ab0,"{""id"": ""bb61d924ab3c446caebfd19c29b36ab0"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T05:56:12Z"", ""duration"": 4, ""spokenBy"": ""5aa6f27a-c06e-4569-9117-5797fafe8356"", ""createdAt"": ""2019-07-01T05:56:12.514478208Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T05:56:08Z"", ""updatedAt"": ""2019-07-01T05:56:15.071218403Z"", ""confidence"": 0.9836434, ""recordingId"": ""26d9071fbca9493f8ff715ae6cb786b1"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""Sorry which one sorry."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T05:56:12.513Z,2019-07-01T05:56:12.513Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
ba358a31-fa5e-4997-a726-a594f3ff4e40,"{""id"": ""ba358a31fa5e4997a726a594f3ff4e40"", ""status"": ""completed"", ""deleted"": false, ""endTime"": ""2019-07-01T06:00:10Z"", ""duration"": 7, ""spokenBy"": ""9dd355fc-fa0f-4a2d-ae05-756cca5a2a57"", ""createdAt"": ""2019-07-01T06:00:10.821493519Z"", ""deletedAt"": null, ""startTime"": ""2019-07-01T06:00:03Z"", ""updatedAt"": ""2019-07-01T06:00:12.563443937Z"", ""confidence"": 0.9068117, ""recordingId"": ""52488c39a51d4aedb03530d747a10d40"", ""transcriber"": ""deepgram"", ""languageCode"": ""en-US"", ""originalText"": ""This one the recording phase, but this is let's check right very final in production like."", ""transcriptId"": ""74e026a9-7a1f-4f28-9b07-ba31b56f4901""}",2019-07-01T06:00:10.821Z,2019-07-01T06:00:10.821Z,,false,74e026a9-7a1f-4f28-9b07-ba31b56f4901
